id,decimalLongitude,decimalLatitude,eventDate,institutionCode,collectionCode,catalogNumber,datasetName,phylum,order,family,genus,scientificName,originalScientificName,scientificNameAuthorship,obisID,resourceID,yearcollected,species,qc,aphiaID,speciesID,scientificNameID,class,depth,basisOfRecord,locality,minimumDepthInMeters,maximumDepthInMeters,continent,datasetID,eventID,geodeticDatum,modified,occurrenceID,occurrenceStatus,lifestage,coordinateUncertaintyInMeters,recordedBy,dynamicProperties,bibliographicCitation,specificEpithet,individualCount,identifiedBy,fieldNumber,otherCatalogNumbers,recordNumber,sex,references,occurrenceRemarks,eventTime
719029169,7.5,54.25,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34676,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,41,HumanObservation,"North Sea, station 471",41,41,NorthSea,IMIS:dasid:1680,471_2,EPSG:4326,2015-08-24 16:45:17,34676,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029170,7.666666667,54.13333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34677,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,39,HumanObservation,"North Sea, station 472",39,39,NorthSea,IMIS:dasid:1680,472_1,EPSG:4326,2015-08-24 16:45:17,34677,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029171,7.666666667,54.13333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34678,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,39,HumanObservation,"North Sea, station 472",39,39,NorthSea,IMIS:dasid:1680,472_2,EPSG:4326,2015-08-24 16:45:17,34678,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029172,6.798333333,54.58333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34679,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,38,HumanObservation,"North Sea, station 564",38,38,NorthSea,IMIS:dasid:1680,564_1,EPSG:4326,2015-08-24 16:45:17,34679,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029173,6.798333333,54.58333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34680,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,38,HumanObservation,"North Sea, station 564",38,38,NorthSea,IMIS:dasid:1680,564_2,EPSG:4326,2015-08-24 16:45:17,34680,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029174,7.083333333,54.33333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34681,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,40,HumanObservation,"North Sea, station 565",40,40,NorthSea,IMIS:dasid:1680,565_1,EPSG:4326,2015-08-24 16:45:17,34681,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029175,7.083333333,54.33333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34682,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,40,HumanObservation,"North Sea, station 565",40,40,NorthSea,IMIS:dasid:1680,565_2,EPSG:4326,2015-08-24 16:45:17,34682,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029176,7.5,54.25,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_34683,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,41,HumanObservation,"North Sea, station 471",41,41,NorthSea,IMIS:dasid:1680,471_1,EPSG:4326,2015-08-24 16:45:17,34683,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029757,4,55,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_30047,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,48,HumanObservation,"North Sea, station 419",48,48,NorthSea,IMIS:dasid:1680,419_2,EPSG:4326,2015-08-24 16:45:17,30047,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719029960,5.666666667,55.41666667,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_29004,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,51,HumanObservation,"North Sea, station 539",51,51,NorthSea,IMIS:dasid:1680,539_1,EPSG:4326,2015-08-24 16:45:17,29004,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
